Designator,Mid X,Mid Y,Rotation,Layer
C1,181.61,-119.634,180.0,bottom
C10,182.052,-124.206,0.0,bottom
C11,174.7012,-128.4224,180.0,bottom
C12,172.212,-121.666,270.0,bottom
C13,175.702,-115.062,0.0,bottom
C14,172.1612,-118.4148,90.0,top
C15,185.4708,-114.874,270.0,bottom
C16,183.134,-116.586,270.0,bottom
C17,179.324,-114.62,270.0,bottom
C18,185.42,-108.458,0.0,bottom
C19,182.1434,-108.5596,0.0,top
C2,189.57,-124.29,180.0,top
C20,187.706,-118.364,270.0,bottom
C21,189.9158,-118.2116,90.0,bottom
C22,185.4708,-111.7092,270.0,bottom
C23,191.1096,-114.2492,90.0,bottom
C24,188.6458,-108.5596,0.0,top
C3,189.7634,-126.3396,0.0,top
C4,178.5772,-121.4628,180.0,bottom
C5,175.4124,-121.8438,180.0,bottom
C6,172.1612,-124.8879,90.0,top
C7,189.572,-122.7836,180.0,top
C8,189.572,-121.2596,180.0,top
C9,178.562,-128.016,0.0,bottom
J1,167.5638,-117.1702,270.0,top
J2,183.4134,-103.9622,180.0,top
J3,190.0174,-103.9622,180.0,top
J4,167.5638,-123.7488,270.0,top
J5,190.6016,-131.2418,270.0,top
L1,174.734,-118.486,90.0,top
L2,182.1545,-111.157,0.0,top
L3,188.7585,-111.157,0.0,top
L4,174.734,-125.0138,90.0,top
R1,178.29,-119.502,180.0,top
R10,189.99,-128.11,180.0,top
R2,178.29,-117.47,180.0,top
R3,181.1385,-114.6462,90.0,top
R4,183.1705,-114.6462,90.0,top
R5,187.7425,-114.6114,90.0,top
R6,189.9015,-114.6114,90.0,top
R7,178.2646,-126.0298,180.0,top
R8,178.2646,-123.9978,180.0,top
R9,182.93,-127.27,90.0,top
U1,185.318403,-121.6492,90.0,top
U2,186.01,-127.42,0.0,top
